donation_id,sales
37EFE9CB-DA07-4A97-8A66-EF7F159DA60A,110.5
874CA6F1-421D-4F7D-825D-09398537C275,97.5
372BCE90-7828-4922-A810-7E234E5DB052,97.5
ABE39535-FFE5-4E18-B408-A0CE0E696DB7,91.0
74BA86CE-BCE5-4319-A698-91B8F050D197,91.0
E55335B5-D16B-4DE7-A427-36ED6153CC59,71.5
83EF7406-5C37-4115-B255-20A1C9D995AF,71.5
FACEC96C-6475-4CB6-BDDF-C24049EB1F38,71.5
589E7437-D117-4FC3-A436-A1558EF6A881,65.0
E6B2E69B-5C07-4B82-ABE3-FD3D06943308,65.0
51C033EC-0DAB-46A9-B8C1-52736CBEBBE5,65.0
C75ACD71-5396-4965-816F-D830F9E94635,65.0
9295E953-93A5-472B-8E46-6C655699B8A7,65.0
660267BE-A3CF-4A3C-BDD3-F52A74986859,65.0
68BC7321-E16F-4CFB-AE9B-95FA946ED893,61.75
94D2BF1C-816E-484B-8503-83526AC75E96,58.5
9CE68A77-0005-4F2B-A3EE-490564F88EBA,58.5
0BF717C6-380B-4264-80E2-C2A83B19CDD4,55.25
568FF51E-843A-4882-BB57-608319B6B4C0,52.0
A11765DC-1D6E-4951-93E9-E080D9CF20D3,52.0
351348D5-3A56-4B25-AA0D-BFC7A301BF3E,52.0
8394D942-66C5-4099-9057-7D9FCCBB8635,52.0
26E785FF-D55F-4617-82F8-D5654FFA6DCE,52.0
2A9C816A-4CC2-4B7D-8488-3B4425332168,52.0
AF194A74-FED7-4F60-BAFE-F65A8883103F,52.0
AF1CF579-C1E1-4CBE-8D4D-DEF754B181B6,52.0
BDAB5BF4-33ED-47B4-8316-1FB3851216BF,52.0
EFA3635E-DCDF-4276-8216-43B05EDF91DD,52.0
7EBC5933-3A05-4E24-8F38-05E672D6FB67,45.5
758455E9-0D30-49B1-8248-7FA23DEA1B9B,45.5
4734F9D9-5FAF-4B7A-A9E4-8ADF2BEB9E17,45.5
E8604682-21AE-462D-9943-AA2BC69138B7,45.5
07119CDF-D661-44D7-B1A7-0E44A0B3103E,45.5
63414A6E-56A7-432C-A055-BD6B694A6E30,45.5
7088EFBD-B810-40CA-83B6-BB21F69B60D4,45.5
463C5D47-2D53-4422-817B-99EC43C56819,45.5
CA5C5130-B9BB-41B1-8BB8-EA3AF7D49884,45.5
8B26A8A9-6A10-4082-8B3D-C6DE318FFBAA,45.5
2DAEDEA5-1044-4BBB-9A0C-9265FA105F2D,45.5
9E0263C4-500B-4282-BBDF-CF9DC241E6C6,45.5
AAF05100-B7E6-4F82-88D6-B672CD1AE049,45.5
09E06675-5339-40FC-9ED1-DD89300CE03F,42.25
3E4863A8-2442-447A-9BD5-39C24391039F,39.0
